SMILE A,SMILE B
[*]CCC(CCCC(CCCC(C[*])C)C)C,[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO
[*]CCC(CCCCCC)C[*],[*]C(C)(C(OCCN(C)C)=O)C[*]
[*]OCC[*],[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*],[*]CC1=CC=C(C(Cl)=C1)C[*]
[*]CCN[*],[*]C1=CC=C([*])N1
[*]CC[*],O=C(O)C([*])C[*]
[*]C(C=C1)=CC=C1S[*],[*]CC(C1=CC=CC=C1)C/C=C/C[*]
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,CC(O[*])CC([*])=O
[*]CC(C1=CC=CC=C1)C/C=C/C[*],[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],[*]C(C(OC(CO[*])=O)C)=O
[*]O[C@H](C)CC([*])=O,O=C1C([*])C(CC[*])C(O1)=O
C/C(C[*])=C/C[*],[*]CC=CCCC(C#N)[*]
O=C1C([*])C(CC[*])C(O1)=O,CCCCCCC1=C(SC([*])=C1)[*]
[*]CC(C1=CC=CC=C1)[*],[*]CCCC(CCCCCC)[*]
COC(C(C[*])([*])C)=O,OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*]
[*]C/C=C(C[*])\Cl,O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O
O=C([*])C(C)O[*],[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O
[*]C(C)C[*],[*]CCCCO[*]
[*]C1=C(C(C[*])=CC=C1)O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
[*]C/C=C(C[*])\Cl,[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2
[*]C(C)C[*],[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,[*]CC(C1=CC=CC=C1)C/C=C/C[*]
[*]C(OCCCO[*])=O,OC1C(O[*])C(NC(C)=O)C(OC2C(O)C(O)C([*])OC2C(O)=O)OC1COC(C(C)=C)=O
[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O,[*]CC([*])CC
[*]CC=CCCC(C#N)[*],COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
[*]C1=C2C(OCCO2)=C([*])S1,OC1C(OC(C(C1O)O)C[*])COCC(OC(C(O)C=O)CO[*])C=O
[*]CC(OC(O[*])=O)C,[*]CC(C(CCC)=O)([*])C
[*]C(C)C[*],O=C(N)C([*])C[*]
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O
[*]CCCC([*])OC(C)=O,[*]CC(CC(C#N)[*])C1=CC=CC=C1
[*]CC[*],O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*]
[*]CCC(CCCC(CCCC(C[*])C)C)C,[*]C/C=C\CCC(C=C)[*]
[*]CC=CCCC(C1=CC=CC=C1)[*],O=C([*])CCCCCO[*]
[*]CC[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2
[*]CC(C)(C(OCCO)=O)[*],O=C(O[*])CCCCCCCCCCN[*]
[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O,[*]C(C(OC(CO[*])=O)C)=O
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*]
[*]CNCC1=CC=CC([*])=C1O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO
OC1C(OC(C(C1O)O)[*])CO[*],CC(CO[*])[*]
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
COC(C(C[*])([*])C)=O,[*]CCCC[*]
[*]CCCCOCCCCOCCCCOCCCCO[*],[*]CC(C1=CC=CC=C1)C/C=C/C[*]
[*]OCC[*],O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]C1=C2C(OCCO2)=C([*])S1
[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,[*]C(C(CCCCN[*])N)=O
[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*]
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]CCC1C([*])C2CCC1C2
O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O,[*]CC(CC([*])C(O)=O)C(NC(C)C)=O
[*]C([H])([H])C(O)([H])[*],O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*]
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]CNCC1=CC=CC([*])=C1O
O=C1CCCN1C([*])C[*],COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
CCCCCCC1=C(SC([*])=C1)[*],OC(C([*])C[*])=O
[*]CCCC(C(O)=O)[*],[Na]OS(CC(C)(C)NC(C([*])C[*])=O)(=O)=O
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]C(C)(C(OCCN(C)C)=O)C[*]
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],O=C(N([*])C([*])=O)CC=C
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,OC(C([*])C[*])=O
O=C1C([*])C(CC[*])C(O1)=O,[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O
[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O,[*]CCCCO[*]
[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O,O=C([*])CCCCCO[*]
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]C1=CC=C([*])N1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O
[*]CC=CCCC(C#N)[*],OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],[*]C(C(CCCC[NH3+])N[*])=O
[*]CCCC(CCCCCC)[*],OC1C(OC(C(C1O)O)[*])CO[*]
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O
[*]CC([*])Cl,[*]CCCC([*])OC(C)=O
CCCCCCC1=C(SC([*])=C1)[*],O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
O=C(C(C[*])[*])N,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C(C(CCCCN[*])N)=O
[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2
[*]CC(OC(O[*])=O)C,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O
OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
[*]CC([*])Cl,[*]CC(C(OCC)=O)[*]
[*]CC[*],[*]CC([*])CC
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,O=C([*])CCCCCO[*]
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,[*]NC(CCC([*])=O)C(O)=O
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]CCCC(C(O)=O)[*]
[*]O[C@H](C)CC([*])=O,[*]C(C(CCCC[NH3+])N[*])=O
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]NC(CCC([*])=O)C(O)=O
[*]CCCCOCCCCOCCCCOCCCCO[*],[*]CC(O)COC1=CC=C(C(C)(C2=CC=C(O[*])C=C2)C)C=C1
[*]C([H])([H])C(O)([H])[*],[*]OC1C(O)C(O)C(OC2C(NC(C)=O)C(O[*])OC(OS(O)(=O)=O)C2O)OC1C(O)=O
[*]C1=C(C(C[*])=CC=C1)O,OC(C(OC(C1O)CO)C[*])C1O[*]
[*]CC(O[*])CN=[N+]=[N-],OC(C(OC(C1O)CO)C[*])C1O[*]
[*]C(F)(C(F)([*])F)F,OC1C(C(OC(C1OC2C(C(C(C(O2)CO)CO[*])O)O)COC3C(C(C(C(O3)CO)O)O)O)C[*])O
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O
[*]C/C=C/C[*],[*]CNCC1=CC=CC([*])=C1O
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],[*]CCCCO[*]
[*]CC(C)(C(OCCO)=O)[*],[*]C(C=C1)=CC=C1S[*]
[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O,[*]CC(CC([*])C(O)=O)C(NC(C)C)=O
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*]
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,CC(CC(C(C(O1)=O)CC1=O)[*])C[*]
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]CCCC([*])OC(C)=O
O=C(O)C([*])C[*],[*]CCCC(C(O)=O)[*]
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO
CC(O[*])CC([*])=O,[*]CCCC[*]
O=C(N)C([*])C[*],O=C([*])CCCCC(NCCCCN[*])=O
C[Si](C)(C[*])O[*],[*]C/C=C/CCC(C/C=C\C[*])C=C
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]CC=CCCC(C1=CC=CC=C1)[*]
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,CCCCCCC1=C(SC([*])=C1)[*]
[*]CC([*])Cl,OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
[*]CC(C(OCC)=O)[*],[*]CC(O[*])CN=[N+]=[N-]
O=C([*])CCCCCO[*],[*]C(N[*])=O
[*]CCC(CCCCCC)C[*],O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*]
[*]CCCC(CCCCCC)[*],[*]/C=C\CC/C=C\CC(CC([*])C1=CC=CC=C1)C2=CC=CC=C2
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*]
OCC1OC(C(C(C1O[*])O)O)[*],[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O
[*]C1=C2C(OCCO2)=C([*])S1,OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O
[*]CCCCO[*],[*]CCCC(C(O)=O)[*]
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,O=C(C(C[*])[*])N
[*]C(CCCCC(OCCCCO[*])=O)=O,CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O
[*]CC([*])Cl,[*]CC(O[*])CN=[N+]=[N-]
[*]CCCC([*])OC(C)=O,[*]OCCCCOC(CCC([*])=O)=O
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,COC(C(C[*])([*])C)=O
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,[*]CC([*])CC
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,CC(C=C([*])C=C1C)=C1O[*]
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*]
[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O,[*]CC(CC([*])C(O)=O)C(NC(C)C)=O
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],CC(O[*])CC([*])=O
[*]CC([*])N1CCCC1=O,O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,[*]CCC(CCCC(CCCC(C[*])C)C)C
[*]CCCC([*])C(OC)=O,CC(CO[*])[*]
[*]CCCC([*])OC(C)=O,[*]NC(C(O)=O)CCC([*])=O
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]OCC1C(C(C(CC1CO)COCC2C(C(C(CC2CO)C[*])O)COCC3C(C(C(C(O3)CO)O)O)COCC4C(C(C(C(O4)C(O)=O)COCC5C(C(C(C(O5)C(O)=O)O)O)O)O)O)O)O
[*]OCCCCOC(CCC([*])=O)=O,OC1C(C(OC(C1OC2C(C(C(C(O2)CO)CO[*])O)O)COC3C(C(C(C(O3)CO)O)O)O)C[*])O
[*]OC1=C(C([*])=CC=C1C)C,[*]CC(C(CCC)=O)([*])C
[*]CC(CC(C#N)[*])C1=CC=CC=C1,[*]CC(C1=CC=CC=C1)C/C=C/C[*]
[*]OCC[*],[*]NC(C1=CC=C2C(C(N(C2=O)C3=CC=C(C=C3)CC4=CC=C([*])C=C4)=O)=C1)=O
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C
C[Si](O[*])(C)[*],O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O
[*]CC(C)(C(OCCO)=O)[*],O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
CC(C=C([*])C=C1C)=C1O[*],[*]CCCCO[*]
[*]C/C=C(C[*])\Cl,OC1C(OC(C(C1O)O)[*])CO[*]
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,[*]NC(C(O)=O)CCC([*])=O
[*]CCCC(C(O)=O)[*],[*]OC1C(O)C(O)C(OC2C(NC(C)=O)C(O[*])OC(OS(O)(=O)=O)C2O)OC1C(O)=O
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O
[*]C(C)C(OCC(O[*])=O)=O,[Na]OS(CC(C)(C)NC(C([*])C[*])=O)(=O)=O
[*]C/C=C/C[*],[*]CCC1C([*])C2CCC1C2
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]CC=CCCC(C1=CC=CC=C1)[*]
[*]CC[*],[*]CC(C#N)[*]
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
O=C([*])CCCCCN[*],[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O
[*]CCCC([*])OC(C)=O,[*]C/C=C(C[*])\Cl
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
OC1C(C(OC(C1OC2C(C(C(C(O2)CO)CO[*])O)O)COC3C(C(C(C(O3)CO)O)O)O)C[*])O,OC(C(OC(C1O)CO)C[*])C1O[*]
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na]
OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O,OC(C([*])C[*])=O
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
O=C([*])CCCCCN[*],OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C1=C(C(C[*])=CC=C1)O
C[Si](O[*])(C)[*],[*]CC(OC(O[*])=O)C
[*]CC(CC(C#N)[*])C1=CC=CC=C1,[*]C/C=C/CCC(C/C=C\C[*])C=C
[*]CC(C1=CC=CC=C1)[*],[*]C1=CC=C([*])N1
[*]C(C)(C(OCCN(C)C)=O)C[*],[*]CCCC(C(O)=O)[*]
[*]C(OCCCO[*])=O,[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
[*]CC(C#N)[*],OC1C(OC(C(C1O)O)[*])CO[*]
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]C/C=C/CCC(C/C=C\C[*])C=C
[*]OCCCCOC(CCC([*])=O)=O,OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
[*]NC(C(O)=O)CCC([*])=O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,OC1C(OC(C(C1O)O)C[*])COCC(OC(C(O)C=O)CO[*])C=O
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*]
[*]C1=C2C(OCCO2)=C([*])S1,[*]CC([*])(C)C(OCC[N+](C)(C)CCCS(=O)([O-])=O)=O
[*]CC([*])Cl,[*]C(F)(C(F)([*])F)F
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,[*]CC(C)(C(OCCO)=O)[*]
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]C(C(CCCC[NH3+])N[*])=O
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O
[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O,O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*]
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C
[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O
[*]NCCCCCCCCCCCC([*])=O,[*]C/C=C/C[*]
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]CCCCOCCCCOCCCCOCCCCO[*]
[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],[*][C@H]1[C@H](O)[C@@H](O)[C@H](OC2C(O)C(OC(C)=O)C(O[*])OC2CO)O[C@@H]1CO
[*]CCCC([*])C(OC)=O,[*]CC(C1=CC=CC=C1)C/C=C/C[*]
O=C(C(OC(C=O)OC1C(C(C(OC1C(O[Na])=O)O[*])O)O)C(C=O)[*])O[Na],[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO
[*]CC[*],OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O
[*]C(C(O[*])C)=O,OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO
[*]CC(CC(C#N)[*])C1=CC=CC=C1,O=C([*])CCCCCO[*]
O=C(N)C([*])C[*],O=C(C(C[*])[*])N
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C(C(CCCCN[*])N)=O
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,[*]C(C(CCCC[NH3+])N[*])=O
O=C([*])CCCCCN[*],[*]CCCC([*])C(OC)=O
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]CC(C#N)[*]
[*]CCC(CCCCCC)C[*],[*]CC=CCCC(C1=CC=CC=C1)[*]
[*]CC(C1=CC=CC=C1)C/C=C/C[*],[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]CCCC([*])OC(C)=O
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,[*]C1=C(C(C[*])=CC=C1)O
[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*],OC(C(OC(C1O)CO)C[*])C1O[*]
[*]C(C(O[*])C)=O,[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO
